output,h,h*um,h*alpha1,h*alpha2,h*alpha3,h*alpha4,h*alpha5,h*alpha6,d_h,d_h*um,d_h*alpha1,d_h*alpha2,d_h*alpha3,d_h*alpha4,d_h*alpha5,d_h*alpha6,viscosity,slip length,order
0.05920407679643659,3.0,3.2436913034402592,1.2251350709866777,0.48885121699827533,0.524373227411811,0.4414812428778075,0.5172120553009972,0.44359447920851663,190.90323881476382,203.75984847733946,69.30080761561996,6.858258948178237,8.145748940657347,9.113977920308397,11.850683312806993,11.534972664087988,0.05,0.05,0.0
0.05000527847073397,3.0,2.2815584494515084,0.7296886048940185,0.34333120483933416,0.37046043815820856,0.30377597002094925,0.33640351552071407,0.2775175546273594,175.42492601137036,147.466028448828,30.937072557133348,6.21005999641134,8.142734219053532,9.408849085282048,11.730600631367752,11.746796144791741,0.05,0.05,0.0
0.037224759174880134,3.0,1.7317985931879956,0.45926438017767895,0.2566167691397683,0.2787168373182445,0.22932327384324871,0.2502452930904918,0.2036511940130311,162.29249590280844,141.84143442207426,17.430422176857647,6.5582366181398415,8.858508765946404,10.185042411682321,12.575183377873469,12.996923648120756,0.05,0.05,0.0
0.05661807550573199,3.877185829613042,2.9626536089658653,0.5626964874288285,0.2639304189083218,0.2624087891151371,0.2261760015343736,0.27943675979969695,0.2933935946019228,185.1855163465211,269.44270233424,21.2437715619239,4.761513923266074,6.4884091655391165,7.417468461469144,9.331505947491081,8.936221225766275,0.05,0.05,0.0
0.03809426622918912,3.4310146594422317,1.567339931231311,0.38555824622177887,0.2346593682451877,0.24349485934150922,0.19130498379668315,0.2140163687091892,0.17773840493147292,171.91774473982107,125.93410978340557,14.168914394346901,5.658818142242978,7.648389954561916,8.868507036343438,11.054204856259103,10.965949169417897,0.05,0.05,0.0
0.030231838599403135,3.1702327966942287,1.4439698335230644,0.3521190711153984,0.2143876384352141,0.2290645539173834,0.18537588212865597,0.2022016577400317,0.1664307121593668,160.66853514765998,143.17280342202892,12.723758267104792,6.446243173307196,8.74929537252352,10.088014197809365,12.53377250955665,12.833469282830912,0.05,0.05,0.0
0.1258997373242866,3.0,3.294612906321761,3.481434390735629,1.6059759874887092,1.5,1.9906253079081435,1.733936899036646,1.5,191.28973863468326,204.34469981576186,136.6126476195161,100.0296593301081,99.87910832776015,100.10196578090657,100.80224861692636,100.83603464465673,0.05,0.05,0.0
0.08108277594685746,3.0,2.28910439633146,2.277858062638101,0.8329303573195339,0.75,1.0691173527074767,0.9303493513975584,0.75,176.51127123302243,144.80627813581833,90.46275142611194,49.93182676802267,49.80394324134619,50.42746312329488,50.78480382636875,50.27180177702174,0.05,0.05,0.0
0.040139475445748446,3.0,1.7317209869578758,1.1854412693944487,0.39424542796491424,0.4022125060046504,0.5261398585019716,0.47220742097556084,0.30238293770505364,162.64712166152523,137.91333627423882,44.097597863632096,19.841654550740284,19.733877258077076,20.560776524029475,20.87252761196793,19.781306115435594,0.05,0.05,0.0
0.08293579205250483,3.911366386219887,2.96320374288831,2.4747232682052096,1.4897730496467727,1.4881349006213564,1.5742559840714383,1.5110028017674602,1.477895842107248,186.7964096118504,273.7045726100891,171.5917080195373,148.97730496467727,148.81349006213563,150.24077301801503,149.89072864296116,147.7895842107248,0.05,0.05,0.0
0.037782613730228,3.438182818208634,1.5660831744627093,1.1223334061187988,0.7445233988529842,0.7665078272138653,0.7997722629780744,0.7590384360754052,0.7372293405882445,173.1937848390013,125.24588717104128,82.73275396095472,74.45233988529843,74.37815296198895,75.38959064973494,75.01966701062182,73.72293405882445,0.05,0.05,0.0
0.03059311111097871,3.1714753584589293,1.4436851529817594,0.5722464465626673,0.37429528313866817,0.40372725473563503,0.32929737608585197,0.30451663432002796,0.29438162612936164,161.02836639743606,142.76161839564412,31.436882261312835,29.773991809713905,29.74879480496681,30.27252852976343,30.040477358972712,29.438162612936164,0.05,0.05,0.0
0.07370815005324771,2.0,2.0568893094906575,0.6397461838301987,0.36836106131911167,0.3525315704079284,0.26895321678898293,0.29175098643567604,0.24154545938601213,97.2072287858742,100.62244870740287,25.360884042274982,2.6906593925413613,3.30730452620899,3.4615746586395684,4.347085956950644,4.187454005719775,0.05,0.05,0.0
